# pid_algorithm_sim v1
# alg: step2
# set_pid: 2000 25 350000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 1
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.058112,-21,-42000,-27350,-273425,-167,0,21,1
0.058368,62,124000,-27700,699968,389,0,-62,1
0.058624,7,14000,-27425,65622,25,0,-7,0
0.058880,-11,-22000,-25250,-196866,-119,0,11,1
0.059136,24,48000,-25925,229677,123,0,-24,0
0.059392,-8,-16000,-23550,-164055,-99,0,8,1
0.059648,-3,-6000,-22675,-98433,-62,0,3,1
0.059904,-12,-24000,-25075,-131244,-88,0,12,1
0.060160,-27,-54000,-27700,-273425,-173,0,27,1
0.060416,13,26000,-28750,185929,89,0,-13,0
0.060672,-22,-44000,-26500,-229677,-147,0,22,1
0.060928,-41,-82000,-30025,-393732,-247,0,41,1
0.061184,46,92000,-28475,546850,298,0,-46,1
0.061440,-20,-40000,-30375,-196866,-130,0,20,1
0.061696,25,50000,-29475,284362,149,0,-25,0
0.061952,28,56000,-28550,295299,158,0,-28,0
0.062208,-40,-80000,-32225,-404669,-252,0,40,1
0.062464,0,0,-33725,98433,32,0,0,0
0.062720,2,4000,-38700,174992,69,0,-2,0
0.062976,6,12000,-38350,164055,67,0,-6,0
0.063232,2,4000,-39925,109370,36,0,-2,0
0.063488,-5,-10000,-43800,65622,6,0,5,0
0.063744,78,156000,-40425,907771,500,0,-78,1
0.064000,-1,-2000,-42000,32811,-5,0,1,1
0.064256,11,22000,-44275,174992,75,0,-11,0
0.064512,22,44000,-46375,328110,159,0,-22,0
0.064768,15,30000,-49150,273425,124,0,-15,0
0.065024,50,100000,-49100,645283,340,0,-50,1
0.065280,-30,-60000,-51825,-251551,-177,0,30,1
0.065536,-16,-32000,-48725,-185929,-130,0,16,1
0.065792,-24,-48000,-47025,-306236,-196,0,24,1
0.066048,-31,-62000,-47475,-371858,-235,0,31,1
0.066304,58,116000,-46325,645283,349,0,-58,1
0.066560,59,118000,-45675,667157,361,0,-59,1
0.066816,-57,-114000,-46500,-645283,-393,0,57,2
0.067072,-17,-34000,-46300,-174992,-125,0,17,1
0.067328,12,24000,-46775,142181,58,0,-12,0
0.067584,-36,-72000,-49025,-371858,-241,0,36,1
0.067840,21,42000,-47275,240614,115,0,-21,0
0.068096,36,72000,-46150,393732,205,0,-36,0
0.068352,50,100000,-42700,470291,258,0,-50,1
0.068608,7,14000,-39750,-32811,-29,0,-7,1
0.068864,-51,-102000,-42725,-612472,-370,0,51,2
0.069120,39,78000,-38825,349984,190,0,-39,0
0.069376,-18,-36000,-36625,-317173,-190,0,18,1
0.069632,2,4000,-37225,-32811,-32,0,-2,1
0.069888,-48,-96000,-31450,-667157,-388,0,48,2
0.070144,-14,-28000,-34200,-207803,-132,0,14,1
0.070400,0,0,-36125,21874,-7,0,0,1
0.070656,-10,-20000,-38125,-76559,-66,0,10,1
0.070912,-76,-152000,-39075,-831212,-499,0,76,2
0.071168,26,52000,-38400,295299,151,0,-26,0
0.071424,3,6000,-40800,54685,10,0,-3,0
0.071680,29,58000,-38900,306236,159,0,-29,0
0.071936,-13,-26000,-41675,-109370,-86,0,13,1
0.072192,-10,-20000,-43350,-32811,-47,0,10,1
0.072448,-25,-50000,-41975,-218740,-152,0,25,1
0.072704,-16,-32000,-41600,-131244,-100,0,16,1
0.072960,5,10000,-44200,142181,53,0,-5,0
0.073216,-22,-44000,-45850,-164055,-124,0,22,1
0.073472,-54,-108000,-49100,-524976,-333,0,54,2
0.073728,10,20000,-50400,196866,81,0,-10,0
0.073984,-19,-38000,-52150,-120307,-103,0,19,1
0.074240,42,84000,-53000,546850,282,0,-42,1
0.074496,14,28000,-57775,295299,130,0,-14,0
0.074752,5,10000,-58625,174992,62,0,-5,0
0.075008,-87,-174000,-58325,-907771,-557,0,87,3
0.075264,-50,-100000,-64425,-404669,-278,0,50,2
0.075520,11,22000,-60100,153118,56,0,-11,0
0.075776,8,16000,-57600,76559,17,0,-8,0
0.076032,2,4000,-54700,-32811,-41,0,-2,1
0.076288,-24,-48000,-56100,-273425,-184,0,24,1
0.076544,-49,-98000,-55025,-568724,-352,0,49,2
0.076800,33,66000,-53375,349984,177,0,-33,0
0.077056,27,54000,-50250,240614,119,0,-27,0
0.077312,17,34000,-52300,185929,82,0,-17,0
0.077568,0,0,-55525,43748,-6,0,0,1
0.077824,-17,-34000,-57225,-120307,-103,0,17,1
0.078080,-14,-28000,-59700,-65622,-75,0,14,1
0.078336,58,116000,-56275,667157,355,0,-58,1
0.078592,-2,-4000,-56550,-21874,-40,0,2,1
0.078848,8,16000,-55375,65622,13,0,-8,0
0.079104,-25,-50000,-54000,-339047,-216,0,25,1
0.079360,13,26000,-52675,87496,30,0,-13,0
0.079616,1,2000,-51675,-54685,-51,0,-1,1
0.079872,-14,-28000,-50225,-207803,-140,0,14,1
0.080128,-28,-56000,-55700,-251551,-177,0,28,1
0.080384,12,24000,-54750,174992,70,0,-12,0
