# pid_algorithm_sim v1
# alg: old
# set_pid: 2000 25 175000
# noise: 33, tau_max: 0.4, inertia: 5.4e-06, coulomb: 0.022, static: 0.13, viscous: 0.0009, load: 0, seed: 4
# move_sent_at_s: 1.000000
t_s,error,p_term,i_term,d_term,output,desired,actual,voltage
0.036992,1,2000,-27875,-76552,-51,0,-1,1
0.037120,48,96000,-26425,180444,122,0,-48,0
0.037248,-29,-58000,-26725,-251528,-165,0,29,1
0.037376,-13,-26000,-27175,-158572,-104,0,13,1
0.037504,-19,-38000,-26975,-196848,-128,0,19,1
0.037632,29,58000,-25350,65616,47,0,-29,0
0.037760,-6,-12000,-24025,-142168,-88,0,6,1
0.037888,-1,-2000,-23825,-114828,-69,0,1,1
0.038016,9,18000,-22000,-71084,-37,0,-9,1
0.038144,-10,-20000,-22125,-169508,-104,0,10,1
0.038272,42,84000,-20900,120296,89,0,-42,0
0.038400,12,24000,-19475,-54680,-25,0,-12,1
0.038528,-44,-88000,-18425,-371824,-234,0,44,1
0.038656,24,48000,-15725,0,15,0,-24,0
0.038784,11,22000,-15250,-65616,-29,0,-11,1
0.038912,-15,-30000,-12825,-218720,-128,0,15,1
0.039040,38,76000,-13350,92956,75,0,-38,0
0.039168,48,96000,-9625,131232,106,0,-48,0
0.039296,13,26000,-9100,-60148,-22,0,-13,1
0.039424,37,74000,-7300,71084,67,0,-37,0
0.039552,45,90000,-5525,109360,94,0,-45,0
0.039680,21,42000,-2175,-38276,0,0,-21,0
0.039808,-12,-24000,-4075,-196848,-110,0,12,1
0.039936,-25,-50000,-7175,-240592,-146,0,25,1
0.040064,-25,-50000,-10725,-213252,-134,0,25,1
0.040192,10,20000,-8275,-32808,-11,0,-10,1
0.040320,-35,-70000,-10225,-273400,-173,0,35,1
0.040448,-12,-24000,-8150,-158572,-94,0,12,1
0.040576,-51,-102000,-11125,-360888,-232,0,51,1
0.040704,-36,-72000,-11625,-267932,-172,0,36,1
0.040832,24,48000,-13175,82020,57,0,-24,0
